n/a,|,optimal_depth,res_depth,total_time,init_time,nr_t1,nr_t2,|,max_depth,max_children,att_b,att_c,div_dist,cx,depth,trail
n/a,|,5,23,0.08090710639953613,0.0038917064666748047,14,15,|,1,1,-10,-10,2,2,5,0
n/a,|,10,50,0.14394068717956543,0.005239725112915039,14,14,|,1,1,-10,-10,2,2,10,0
n/a,|,15,70,0.23106884956359863,0.0055124759674072266,14,10,|,1,1,-10,-10,2,2,15,0
n/a,|,20,99,0.33248138427734375,0.008857250213623047,14,12,|,1,1,-10,-10,2,2,20,0
n/a,|,25,118,0.3463099002838135,0.010113716125488281,13,15,|,1,1,-10,-10,2,2,25,0
n/a,|,30,93,0.2568361759185791,0.005889177322387695,15,14,|,1,1,-10,-10,2,2,30,0
n/a,|,35,187,0.33488941192626953,0.0072705745697021484,13,12,|,1,1,-10,-10,2,2,35,0
n/a,|,40,177,0.3638629913330078,0.007462978363037109,12,14,|,1,1,-10,-10,2,2,40,0
n/a,|,45,112,0.25469398498535156,0.008181095123291016,12,14,|,1,1,-10,-10,2,2,45,0
n/a,|,5,35,0.046039581298828125,0.0019295215606689453,13,11,|,1,1,-10,-10,2,2,5,1
n/a,|,10,46,0.07875418663024902,0.002893686294555664,13,12,|,1,1,-10,-10,2,2,10,1
n/a,|,15,56,0.1512889862060547,0.0036330223083496094,15,12,|,1,1,-10,-10,2,2,15,1
n/a,|,20,68,0.13722968101501465,0.004851102828979492,14,12,|,1,1,-10,-10,2,2,20,1

